PLOT NUMBER,SIZE PER PLOT, PRICE PER HA , FINAL VALUE ,BUYER'S NAME, DEPOSIT ,BALANCE
G074,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G075,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G076,0.1313," 205,882,352.00 "," 27,032,352.82 ",,," 27,032,352.82 "
G077,0.0518," 205,882,352.00 "," 10,664,705.83 ",,," 10,664,705.83 "
G078,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G079,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G080,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G081,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G082,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G083,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G084,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G085,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G086,0.0872," 205,882,352.00 "," 17,952,941.09 ",,," 17,952,941.09 "
G087,0.0872," 205,882,352.00 "," 17,952,941.09 ",,," 17,952,941.09 "
G088,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G089,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G090,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G091,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G092,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G093,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G094,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G095,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G096,0.0518," 205,882,352.00 "," 10,664,705.83 ",,," 10,664,705.83 "
G097,0.1226," 205,882,352.00 "," 25,241,176.36 ",,," 25,241,176.36 "
G098,0.1238," 205,882,352.00 "," 25,488,235.18 ",,," 25,488,235.18 "
G099,0.1238," 205,882,352.00 "," 25,488,235.18 ",,," 25,488,235.18 "
G100,0.1238," 205,882,352.00 "," 25,488,235.18 ",,," 25,488,235.18 "
G101,0.1238," 205,882,352.00 "," 25,488,235.18 ",,," 25,488,235.18 "
G102,0.1238," 205,882,352.00 "," 25,488,235.18 ",,," 25,488,235.18 "
G103,0.1238," 205,882,352.00 "," 25,488,235.18 ",,," 25,488,235.18 "
G104,0.1238," 205,882,352.00 "," 25,488,235.18 ",,," 25,488,235.18 "
G105,0.1238," 205,882,352.00 "," 25,488,235.18 ",,," 25,488,235.18 "
G106,0.1238," 205,882,352.00 "," 25,488,235.18 ",,," 25,488,235.18 "
G107,0.1238," 205,882,352.00 "," 25,488,235.18 ",,," 25,488,235.18 "
G108,0.1238," 205,882,352.00 "," 25,488,235.18 ",,," 25,488,235.18 "
G109,0.1238," 205,882,352.00 "," 25,488,235.18 ",,," 25,488,235.18 "
G110,0.1238," 205,882,352.00 "," 25,488,235.18 ",,," 25,488,235.18 "
G111,0.1238," 205,882,352.00 "," 25,488,235.18 ",,," 25,488,235.18 "
G112,0.1238," 205,882,352.00 "," 25,488,235.18 ",,," 25,488,235.18 "
G113,0.1238," 205,882,352.00 "," 25,488,235.18 ",,," 25,488,235.18 "
G114,0.1238," 205,882,352.00 "," 25,488,235.18 ",,," 25,488,235.18 "
G115,0.1893," 205,882,352.00 "," 38,973,529.23 ",,," 38,973,529.23 "
G116,0.2407," 205,882,352.00 "," 49,555,882.13 ",,," 49,555,882.13 "
G117,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G118,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G119,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G120,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G121,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G122,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G123,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G124,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G125,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G126,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G127,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G128,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G129,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G130,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G131,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G132,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G133,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G134,0.2015," 205,882,352.00 "," 41,485,293.93 ",,," 41,485,293.93 "
G135,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G136,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G137,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G138,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G139,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G140,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G141,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
